timestamp,datetime_utc,datetime_bj,action,price,size,position_before,position_after,equity,pnl,reason,ema_fast,ema_slow,gap_bps,signal
1765785600.3543441,2025-12-15 08:00:00,2025-12-15 16:00:00,BarData,132.306,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 0.0 < 10),132.306,132.306,0.0,0
1765785900.4942412,2025-12-15 08:05:00,2025-12-15 16:05:00,BarData,132.22,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 0.8 < 10),132.293,132.303,0.8,0
1765786200.2621553,2025-12-15 08:10:00,2025-12-15 16:10:00,BarData,132.287,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 0.8 < 10),132.292,132.303,0.8,0
1765786500.6025333,2025-12-15 08:15:00,2025-12-15 16:15:00,BarData,132.168,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 1.9 < 10),132.273,132.298,1.9,0
1765786800.411363,2025-12-15 08:20:00,2025-12-15 16:20:00,BarData,132.438,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 0.3 < 10),132.298,132.303,0.3,0
1765787100.1520417,2025-12-15 08:25:00,2025-12-15 16:25:00,BarData,132.492,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 1.4 < 10),132.328,132.309,1.4,0
1765787400.2042875,2025-12-15 08:30:00,2025-12-15 16:30:00,BarData,132.586,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 3.7 < 10),132.368,132.318,3.7,0
1765787700.3412757,2025-12-15 08:35:00,2025-12-15 16:35:00,BarData,132.447,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 4.3 < 10),132.380,132.322,4.3,0
1765788000.1451263,2025-12-15 08:40:00,2025-12-15 16:40:00,BarData,132.358,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 4.0 < 10),132.377,132.323,4.0,0
1765788300.7206764,2025-12-15 08:45:00,2025-12-15 16:45:00,BarData,132.47,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 4.7 < 10),132.391,132.328,4.7,0
1765788600.2380621,2025-12-15 08:50:00,2025-12-15 16:50:00,BarData,132.299,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 3.7 < 10),132.377,132.327,3.7,0
1765788900.6437335,2025-12-15 08:55:00,2025-12-15 16:55:00,BarData,132.251,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 2.5 < 10),132.357,132.325,2.5,0
1765789200.3374913,2025-12-15 09:00:00,2025-12-15 17:00:00,BarData,132.331,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 2.1 < 10),132.353,132.325,2.1,0
1765789500.307855,2025-12-15 09:05:00,2025-12-15 17:05:00,BarData,132.467,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 3.1 < 10),132.371,132.330,3.1,0
1765789800.548247,2025-12-15 09:10:00,2025-12-15 17:10:00,BarData,132.439,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 3.6 < 10),132.381,132.333,3.6,0
1765790100.2916667,2025-12-15 09:15:00,2025-12-15 17:15:00,BarData,132.228,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 2.1 < 10),132.358,132.330,2.1,0
1765790402.0789247,2025-12-15 09:20:02,2025-12-15 17:20:02,BarData,132.153,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 0.2 < 10),132.326,132.324,0.2,0
1765790700.7085407,2025-12-15 09:25:00,2025-12-15 17:25:00,BarData,132.306,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 0.0 < 10),132.323,132.323,0.0,0
1765791000.230488,2025-12-15 09:30:00,2025-12-15 17:30:00,BarData,132.47,0,0.0,0.0,195.531922,0.0,❌ 震荡 (Gap 1.3 < 10),132.346,132.328,1.3,0
