timestamp,datetime_utc,datetime_bj,action,price,size,position_before,position_after,equity,pnl,reason,ema_fast,ema_slow,gap_bps,signal
1766128020.125253,2025-12-19 07:07:00,2025-12-19 15:07:00,BarData,124.638,0,0.0,0.0,195.778938,0.0,❌ 震荡 (Gap 0.0 < 10),124.638,124.638,0.0,0
1766128080.2314422,2025-12-19 07:08:00,2025-12-19 15:08:00,BarData,124.727,0,0.0,0.0,195.778938,0.0,❌ 震荡 (Gap 6.9 < 10),124.727,124.641,6.9,0
1766128140.329293,2025-12-19 07:09:00,2025-12-19 15:09:00,BarData,124.917,0,0.0,0.0,195.778938,0.0,✅ 触发交易,124.917,124.650,21.4,1
1766128144.280009,2025-12-19 07:09:04,2025-12-19 15:09:04,Strategy_Open,124.917,1.0,0,1.0,195.75693800000002,0.0,Strategy_Signal,124.917,124.650,21.4,1
1766128200.1659212,2025-12-19 07:10:00,2025-12-19 15:10:00,BarData,124.912,0,1.0,1.0,195.814938,0.0,✅ 触发交易,124.912,124.659,20.3,1
1766128260.5596266,2025-12-19 07:11:00,2025-12-19 15:11:00,BarData,125.094,0,1.0,1.0,195.951938,0.0,✅ 触发交易,125.094,124.673,33.7,1
1766128320.1550727,2025-12-19 07:12:00,2025-12-19 15:12:00,BarData,125.103,0,1.0,1.0,196.02393800000002,0.0,✅ 触发交易,125.103,124.687,33.3,1
1766128380.315264,2025-12-19 07:13:00,2025-12-19 15:13:00,BarData,124.914,0,1.0,1.0,195.86993800000002,0.0,✅ 触发交易,124.914,124.694,17.6,1
1766128440.6855361,2025-12-19 07:14:00,2025-12-19 15:14:00,BarData,124.807,0,1.0,1.0,195.69793800000002,0.0,❌ 震荡 (Gap 8.7 < 10),124.807,124.698,8.7,0
1766128441.3911996,2025-12-19 07:14:01,2025-12-19 15:14:01,PnlRecord,124.807,0,0,0,195.69793800000002,-0.2883621829017355,多,124.807,124.698,8.7,0
1766128441.906301,2025-12-19 07:14:01,2025-12-19 15:14:01,CloseSignal,124.807,1.0,1.0,0,195.69793800000002,0.0,Strategy_TrendEnd,124.807,124.698,8.7,0
1766128502.3541198,2025-12-19 07:15:02,2025-12-19 15:15:02,BarData,124.655,0,0.0,0.0,195.745938,0.0,❌ 震荡 (Gap 3.3 < 10),124.655,124.697,3.3,0
1766128560.6011868,2025-12-19 07:16:00,2025-12-19 15:16:00,BarData,124.401,0,0.0,0.0,195.745938,0.0,✅ 触发交易,124.401,124.687,23.0,-1
1766128564.4673996,2025-12-19 07:16:04,2025-12-19 15:16:04,Strategy_Open,124.401,1.0,0,-1.0,195.801713,0.0,Strategy_Signal,124.401,124.687,23.0,-1
1766128622.3014667,2025-12-19 07:17:02,2025-12-19 15:17:02,BarData,124.34,0,-1.0,-1.0,195.699713,0.0,✅ 触发交易,124.340,124.676,27.0,-1
1766128680.3713264,2025-12-19 07:18:00,2025-12-19 15:18:00,BarData,124.093,0,-1.0,-1.0,195.857713,0.0,✅ 触发交易,124.093,124.656,45.4,-1
1766128740.639224,2025-12-19 07:19:00,2025-12-19 15:19:00,BarData,123.882,0,-1.0,-1.0,196.282713,0.0,✅ 触发交易,123.882,124.631,60.5,-1
1766128800.8067796,2025-12-19 07:20:00,2025-12-19 15:20:00,BarData,123.997,0,-1.0,-1.0,196.06471299999998,0.0,✅ 触发交易,123.997,124.610,49.5,-1
1766128860.769758,2025-12-19 07:21:00,2025-12-19 15:21:00,BarData,123.89,0,-1.0,-1.0,196.241713,0.0,✅ 触发交易,123.890,124.587,56.2,-1
1766128920.4924414,2025-12-19 07:22:00,2025-12-19 15:22:00,BarData,123.965,0,-1.0,-1.0,196.164713,0.0,✅ 触发交易,123.965,124.566,48.5,-1
1766128980.8328059,2025-12-19 07:23:00,2025-12-19 15:23:00,BarData,124.211,0,-1.0,-1.0,196.011713,0.0,✅ 触发交易,124.211,124.555,27.7,-1
1766129042.375276,2025-12-19 07:24:02,2025-12-19 15:24:02,BarData,124.254,0,-1.0,-1.0,195.883713,0.0,✅ 触发交易,124.254,124.545,23.4,-1
1766129100.425198,2025-12-19 07:25:00,2025-12-19 15:25:00,BarData,124.141,0,-1.0,-1.0,195.87471299999999,0.0,✅ 触发交易,124.141,124.532,31.5,-1
1766129160.6672094,2025-12-19 07:26:00,2025-12-19 15:26:00,BarData,124.31,0,-1.0,-1.0,195.87471299999999,0.0,✅ 触发交易,124.310,124.524,17.2,-1
1766129221.5888872,2025-12-19 07:27:01,2025-12-19 15:27:01,BarData,124.287,0,-1.0,-1.0,195.703713,0.0,✅ 触发交易,124.287,124.517,18.5,-1
1766129280.2265449,2025-12-19 07:28:00,2025-12-19 15:28:00,BarData,124.172,0,-1.0,-1.0,195.943713,0.0,✅ 触发交易,124.172,124.505,26.8,-1
