timestamp,datetime_utc,datetime_bj,action,price,size,position_before,position_after,equity,pnl,reason,ema_fast,ema_slow,gap_bps,signal
1766057520.7567954,2025-12-18 11:32:00,2025-12-18 19:32:00,BarData,123.56,0,0.0,0.0,191.883327,0.0,❌ 震荡 (Gap 0.0 < 10),123.560,123.560,0.0,0
1766057580.736401,2025-12-18 11:33:00,2025-12-18 19:33:00,BarData,123.538,0,0.0,0.0,191.883327,0.0,❌ 震荡 (Gap 1.7 < 10),123.538,123.559,1.7,0
1766057640.7528694,2025-12-18 11:34:00,2025-12-18 19:34:00,BarData,123.497,0,0.0,0.0,191.883327,0.0,❌ 震荡 (Gap 4.9 < 10),123.497,123.557,4.9,0
1766057700.2551594,2025-12-18 11:35:00,2025-12-18 19:35:00,BarData,123.423,0,0.0,0.0,191.883327,0.0,✅ 触发交易,123.423,123.553,10.5,-1
1766057704.2782018,2025-12-18 11:35:04,2025-12-18 19:35:04,Strategy_Open,123.423,1.0,0,-1.0,191.87432700000002,0.0,Strategy_Signal,123.423,123.553,10.5,-1
1766057760.5387778,2025-12-18 11:36:00,2025-12-18 19:36:00,BarData,123.46,0,-1.0,-1.0,191.87332700000002,0.0,❌ 震荡 (Gap 7.3 < 10),123.460,123.550,7.3,0
1766057761.2179382,2025-12-18 11:36:01,2025-12-18 19:36:01,PnlRecord,123.46,0,0,0,191.87332700000002,-0.18632986867791776,空,123.460,123.550,7.3,0
1766057761.7063344,2025-12-18 11:36:01,2025-12-18 19:36:01,CloseSignal,123.46,1.0,-1.0,0,191.87332700000002,0.0,Strategy_TrendEnd,123.460,123.550,7.3,0
1766057822.2785375,2025-12-18 11:37:02,2025-12-18 19:37:02,BarData,123.446,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 8.1 < 10),123.446,123.546,8.1,0
1766057880.6039186,2025-12-18 11:38:00,2025-12-18 19:38:00,BarData,123.48,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 5.2 < 10),123.480,123.544,5.2,0
1766057940.5744925,2025-12-18 11:39:00,2025-12-18 19:39:00,BarData,123.472,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 5.7 < 10),123.472,123.542,5.7,0
1766058000.4235914,2025-12-18 11:40:00,2025-12-18 19:40:00,BarData,123.469,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 5.7 < 10),123.469,123.539,5.7,0
1766058060.3436255,2025-12-18 11:41:00,2025-12-18 19:41:00,BarData,123.466,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 5.8 < 10),123.466,123.537,5.8,0
1766058120.198791,2025-12-18 11:42:00,2025-12-18 19:42:00,BarData,123.53,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 0.6 < 10),123.530,123.537,0.6,0
1766058180.6356413,2025-12-18 11:43:00,2025-12-18 19:43:00,BarData,123.542,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 0.4 < 10),123.542,123.537,0.4,0
1766058240.5732584,2025-12-18 11:44:00,2025-12-18 19:44:00,BarData,123.555,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 1.4 < 10),123.555,123.538,1.4,0
1766058300.829244,2025-12-18 11:45:00,2025-12-18 19:45:00,BarData,123.576,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 3.0 < 10),123.576,123.539,3.0,0
1766058360.280623,2025-12-18 11:46:00,2025-12-18 19:46:00,BarData,123.614,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 5.9 < 10),123.614,123.541,5.9,0
1766058420.2543716,2025-12-18 11:47:00,2025-12-18 19:47:00,BarData,123.662,0,0.0,0.0,191.857327,0.0,❌ 震荡 (Gap 9.4 < 10),123.662,123.545,9.4,0
1766058480.7289076,2025-12-18 11:48:00,2025-12-18 19:48:00,BarData,123.703,0,0.0,0.0,191.857327,0.0,✅ 触发交易,123.703,123.550,12.3,1
1766058484.5935578,2025-12-18 11:48:04,2025-12-18 19:48:04,Strategy_Open,123.703,1.0,0,1.0,191.844327,0.0,Strategy_Signal,123.703,123.550,12.3,1
1766058540.2849243,2025-12-18 11:49:00,2025-12-18 19:49:00,BarData,123.724,0,1.0,1.0,191.856327,0.0,✅ 触发交易,123.724,123.556,13.6,1
1766058602.3754075,2025-12-18 11:50:02,2025-12-18 19:50:02,BarData,123.866,0,1.0,1.0,192.005327,0.0,✅ 触发交易,123.866,123.566,24.2,1
1766058660.99708,2025-12-18 11:51:00,2025-12-18 19:51:00,BarData,123.794,0,1.0,1.0,191.968327,0.0,✅ 触发交易,123.794,123.574,17.8,1
1766058720.5180244,2025-12-18 11:52:00,2025-12-18 19:52:00,BarData,123.845,0,1.0,1.0,191.982327,0.0,✅ 触发交易,123.845,123.583,21.2,1
1766058780.2138953,2025-12-18 11:53:00,2025-12-18 19:53:00,BarData,123.771,0,1.0,1.0,191.921327,0.0,✅ 触发交易,123.771,123.589,14.7,1
1766058840.8219392,2025-12-18 11:54:00,2025-12-18 19:54:00,BarData,123.789,0,1.0,1.0,191.916327,0.0,✅ 触发交易,123.789,123.595,15.6,1
1766058900.2912202,2025-12-18 11:55:00,2025-12-18 19:55:00,BarData,123.777,0,1.0,1.0,191.912327,0.0,✅ 触发交易,123.777,123.601,14.2,1
1766058962.2162127,2025-12-18 11:56:02,2025-12-18 19:56:02,BarData,123.813,0,1.0,1.0,191.933327,0.0,✅ 触发交易,123.813,123.608,16.5,1
1766059020.7161589,2025-12-18 11:57:00,2025-12-18 19:57:00,BarData,123.831,0,1.0,1.0,191.943327,0.0,✅ 触发交易,123.831,123.616,17.4,1
1766059080.5272844,2025-12-18 11:58:00,2025-12-18 19:58:00,BarData,123.839,0,1.0,1.0,191.968327,0.0,✅ 触发交易,123.839,123.623,17.4,1
1766059142.2732992,2025-12-18 11:59:02,2025-12-18 19:59:02,BarData,123.897,0,1.0,1.0,192.026327,0.0,✅ 触发交易,123.897,123.632,21.4,1
1766059200.339816,2025-12-18 12:00:00,2025-12-18 20:00:00,BarData,124.027,0,1.0,1.0,192.104327,0.0,✅ 触发交易,124.027,123.645,30.8,1
1766059260.5762265,2025-12-18 12:01:00,2025-12-18 20:01:00,BarData,124.086,0,1.0,1.0,192.215451,0.0,✅ 触发交易,124.086,123.659,34.4,1
1766059320.6138096,2025-12-18 12:02:00,2025-12-18 20:02:00,BarData,124.034,0,1.0,1.0,192.176451,0.0,✅ 触发交易,124.034,123.672,29.2,1
1766059380.396322,2025-12-18 12:03:00,2025-12-18 20:03:00,BarData,124.19,0,1.0,1.0,192.346451,0.0,✅ 触发交易,124.190,123.689,40.4,1
1766059441.6606505,2025-12-18 12:04:01,2025-12-18 20:04:01,BarData,124.038,0,1.0,1.0,192.174451,0.0,✅ 触发交易,124.038,123.700,27.2,1
1766059502.4470036,2025-12-18 12:05:02,2025-12-18 20:05:02,BarData,124.038,0,1.0,1.0,192.165451,0.0,✅ 触发交易,124.038,123.711,26.4,1
1766059560.4008446,2025-12-18 12:06:00,2025-12-18 20:06:00,BarData,124.02,0,1.0,1.0,192.226451,0.0,✅ 触发交易,124.020,123.721,24.1,1
1766059620.0925338,2025-12-18 12:07:00,2025-12-18 20:07:00,BarData,124.005,0,1.0,1.0,192.133451,0.0,✅ 触发交易,124.005,123.731,22.1,1
1766059680.2779586,2025-12-18 12:08:00,2025-12-18 20:08:00,BarData,123.898,0,1.0,1.0,192.028451,0.0,✅ 触发交易,123.898,123.736,13.1,1
1766059740.3518553,2025-12-18 12:09:00,2025-12-18 20:09:00,BarData,123.919,0,1.0,1.0,192.052451,0.0,✅ 触发交易,123.919,123.742,14.3,1
1766059800.3896878,2025-12-18 12:10:00,2025-12-18 20:10:00,BarData,123.954,0,1.0,1.0,192.093451,0.0,✅ 触发交易,123.954,123.749,16.5,1
1766059860.6006415,2025-12-18 12:11:00,2025-12-18 20:11:00,BarData,123.94,0,1.0,1.0,192.072451,0.0,✅ 触发交易,123.940,123.755,14.9,1
1766059920.3046749,2025-12-18 12:12:00,2025-12-18 20:12:00,BarData,123.882,0,1.0,1.0,192.036451,0.0,❌ 震荡 (Gap 9.9 < 10),123.882,123.759,9.9,0
1766059921.026547,2025-12-18 12:12:01,2025-12-18 20:12:01,PnlRecord,123.882,0,0,0,192.036451,1.3013150556494157,多,123.882,123.759,9.9,0
