timestamp,datetime_utc,datetime_bj,action,price,size,position_before,position_after,equity,pnl,reason,ema_fast,ema_slow,gap_bps,signal
1765536648.8672626,2025-12-12 10:50:48,2025-12-12 18:50:48,Open,138.435,1.0,0,1.0,195.33989,0.0,SignalExec,138.150,137.986,11.8,1
1765536772.2069018,2025-12-12 10:52:52,2025-12-12 18:52:52,PnlRecord,138.328,0,0,0,195.28188999999998,-0.5635593832637527,多,138.227,138.007,15.9,0
1765536773.1174502,2025-12-12 10:52:53,2025-12-12 18:52:53,CloseSignal,138.328,1.0,1.0,0,195.28188999999998,0.0,TrendEnd,138.227,138.007,15.9,0
1765536899.491284,2025-12-12 10:54:59,2025-12-12 18:54:59,Open,138.294,1.0,0,1.0,195.30289000000002,0.0,SignalExec,138.283,138.029,18.4,1
1765537021.9724534,2025-12-12 10:57:01,2025-12-12 18:57:01,PnlRecord,138.362,0,0,0,195.36289000000002,0.44106694817829994,多,138.325,138.051,19.8,0
1765537022.5514584,2025-12-12 10:57:02,2025-12-12 18:57:02,CloseSignal,138.362,1.0,1.0,0,195.36289000000002,0.0,TrendEnd,138.325,138.051,19.8,0
1765537148.4721885,2025-12-12 10:59:08,2025-12-12 18:59:08,Open,138.384,1.0,0,1.0,195.33289,0.0,SignalExec,138.357,138.073,20.5,1
1765537275.609513,2025-12-12 11:01:15,2025-12-12 19:01:15,SL,138.202,1.0,1.0,0.0,195.167229,0.0,🛡️ 止损 (-1.32%),138.369,138.083,20.6,1
1765537275.6098316,2025-12-12 11:01:15,2025-12-12 19:01:15,PnlRecord,138.202,0,0,0,195.169229,-1.3151809457739911,多,138.369,138.083,20.6,1
1765537343.477202,2025-12-12 11:02:23,2025-12-12 19:02:23,Open,138.407,1.0,0,1.0,195.145229,0.0,SignalExec,138.346,138.098,17.9,1
1765537467.6080403,2025-12-12 11:04:27,2025-12-12 19:04:27,PnlRecord,138.38,0,0,0,195.108229,-0.22397063817186433,多,138.381,138.119,18.9,0
1765537468.0852287,2025-12-12 11:04:28,2025-12-12 19:04:28,CloseSignal,138.38,1.0,1.0,0,195.108229,0.0,TrendEnd,138.381,138.119,18.9,0
1765537596.2859628,2025-12-12 11:06:36,2025-12-12 19:06:36,Open,138.315,1.0,0,1.0,195.092229,0.0,SignalExec,138.360,138.133,16.4,1
1765537723.0736945,2025-12-12 11:08:43,2025-12-12 19:08:43,SL,138.086,1.0,1.0,0.0,194.886229,0.0,🛡️ 止损 (-1.68%),138.325,138.137,13.6,1
1765537723.0740316,2025-12-12 11:08:43,2025-12-12 19:08:43,PnlRecord,138.086,0,0,0,194.866229,-1.6772943506991087,多,138.325,138.137,13.6,1
1765538828.2726154,2025-12-12 11:27:08,2025-12-12 19:27:08,Open,138.438,1.0,0,1.0,194.87222899999998,0.0,SignalExec,138.298,138.144,11.1,1
1765538950.92982,2025-12-12 11:29:10,2025-12-12 19:29:10,PnlRecord,138.483,0,0,0,194.822229,0.23112870257355084,多,138.383,138.165,15.8,0
1765538951.557076,2025-12-12 11:29:11,2025-12-12 19:29:11,CloseSignal,138.483,1.0,1.0,0,194.822229,0.0,TrendEnd,138.383,138.165,15.8,0
1765539077.612034,2025-12-12 11:31:17,2025-12-12 19:31:17,Open,138.443,1.0,0,1.0,194.917229,0.0,SignalExec,138.424,138.184,17.3,1
