timestamp,datetime_utc,datetime_bj,action,price,size,position_before,position_after,equity,pnl,reason,ema_fast,ema_slow,gap_bps,signal
1766218320.4517386,2025-12-20 08:12:00,2025-12-20 16:12:00,BarData,126.328,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 0.0 < 10),126.328,126.328,0.0,0
1766218380.5495074,2025-12-20 08:13:00,2025-12-20 16:13:00,BarData,126.359,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 2.4 < 10),126.359,126.329,2.4,0
1766218440.2969077,2025-12-20 08:14:00,2025-12-20 16:14:00,BarData,126.375,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 3.5 < 10),126.375,126.331,3.5,0
1766218500.5621858,2025-12-20 08:15:00,2025-12-20 16:15:00,BarData,126.35,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 1.5 < 10),126.350,126.331,1.5,0
1766218560.1337087,2025-12-20 08:16:00,2025-12-20 16:16:00,BarData,126.452,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 9.2 < 10),126.452,126.335,9.2,0
1766218620.2657068,2025-12-20 08:17:00,2025-12-20 16:17:00,BarData,126.364,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 2.2 < 10),126.364,126.336,2.2,0
1766218680.482348,2025-12-20 08:18:00,2025-12-20 16:18:00,BarData,126.38,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 3.4 < 10),126.380,126.338,3.4,0
1766218740.403823,2025-12-20 08:19:00,2025-12-20 16:19:00,BarData,126.426,0,0.0,0.0,193.084195,0.0,❌ 震荡 (Gap 6.8 < 10),126.426,126.340,6.8,0
1766218801.5934143,2025-12-20 08:20:01,2025-12-20 16:20:01,BarData,126.535,0,0.0,0.0,193.084195,0.0,✅ 触发交易,126.535,126.347,14.9,1
1766218805.5695155,2025-12-20 08:20:05,2025-12-20 16:20:05,Strategy_Open,126.535,1.0,0,1.0,193.065195,0.0,Strategy_Signal,126.535,126.347,14.9,1
1766218860.816979,2025-12-20 08:21:00,2025-12-20 16:21:00,BarData,126.757,0,1.0,1.0,193.257195,0.0,✅ 触发交易,126.757,126.360,31.3,1
1766218920.3326197,2025-12-20 08:22:00,2025-12-20 16:22:00,BarData,126.843,0,1.0,1.0,193.414195,0.0,✅ 触发交易,126.843,126.376,36.8,1
