timestamp,price,position,equity
1766127912.1403108,124.101,0.0,195.778938
1766127913.3217251,124.109,0.0,195.778938
1766127914.0032957,124.109,0.0,195.778938
1766127915.6904345,124.147,0.0,195.778938
1766127916.3195868,124.176,0.0,195.778938
1766127916.9420686,124.176,0.0,195.778938
1766127917.532495,124.16,0.0,195.778938
1766127918.1541967,124.164,0.0,195.778938
1766127918.7889452,124.158,0.0,195.778938
1766127919.4143004,124.152,0.0,195.778938
1766127920.0145433,124.143,0.0,195.778938
1766127920.6135612,124.143,0.0,195.778938
1766127921.1915987,124.142,0.0,195.778938
1766127921.8029773,124.142,0.0,195.778938
1766127922.4207895,124.143,0.0,195.778938
1766127923.12143,124.142,0.0,195.778938
1766127923.7453501,124.158,0.0,195.778938
1766127924.3579292,124.151,0.0,195.778938
1766127925.000805,124.151,0.0,195.778938
1766127925.6341612,124.165,0.0,195.778938
1766127926.2618556,124.165,0.0,195.778938
1766127926.917428,124.165,0.0,195.778938
1766127927.5514097,124.159,0.0,195.778938
1766127928.156231,124.159,0.0,195.778938
1766127928.7799025,124.159,0.0,195.778938
1766127929.4047961,124.159,0.0,195.778938
1766127929.9940424,124.154,0.0,195.778938
1766127930.6090434,124.154,0.0,195.778938
1766127931.212471,124.159,0.0,195.778938
1766127931.8332877,124.16,0.0,195.778938
1766127932.5830908,124.167,0.0,195.778938
1766127933.6720507,124.17,0.0,195.778938
1766127934.3079941,124.17,0.0,195.778938
1766127934.9410636,124.173,0.0,195.778938
1766127935.5631244,124.174,0.0,195.778938
1766127936.1866915,124.159,0.0,195.778938
1766127936.80963,124.172,0.0,195.778938
1766127937.3961563,124.179,0.0,195.778938
1766127938.0267742,124.196,0.0,195.778938
1766127938.6883194,124.196,0.0,195.778938
1766127939.3139079,124.21,0.0,195.778938
1766127940.087614,124.21,0.0,195.778938
1766127940.7000558,124.186,0.0,195.778938
1766127941.2777715,124.186,0.0,195.778938
1766127941.8606167,124.179,0.0,195.778938
1766127942.4392917,124.179,0.0,195.778938
1766127943.135063,124.19,0.0,195.778938
1766127943.7569184,124.191,0.0,195.778938
1766127944.3897164,124.191,0.0,195.778938
1766127945.0153153,124.21,0.0,195.778938
1766127945.6051667,124.197,0.0,195.778938
1766127982.1006522,124.435,0.0,195.778938
1766127983.1536832,124.448,0.0,195.778938
1766127983.790586,124.441,0.0,195.778938
1766127984.4194875,124.462,0.0,195.778938
1766127985.0473604,124.462,0.0,195.778938
1766127985.6814442,124.48,0.0,195.778938
1766127986.3090112,124.475,0.0,195.778938
1766127986.9388506,124.463,0.0,195.778938
1766127987.559348,124.483,0.0,195.778938
1766127988.1356778,124.517,0.0,195.778938
1766127988.711289,124.516,0.0,195.778938
1766127989.2852523,124.506,0.0,195.778938
1766127989.8614848,124.506,0.0,195.778938
1766127990.4375305,124.506,0.0,195.778938
1766127991.034191,124.493,0.0,195.778938
1766127991.6120615,124.516,0.0,195.778938
1766127992.1987522,124.515,0.0,195.778938
1766127992.8693209,124.497,0.0,195.778938
1766127993.4443762,124.497,0.0,195.778938
1766127994.0202107,124.487,0.0,195.778938
1766127994.596558,124.487,0.0,195.778938
1766127995.1740105,124.502,0.0,195.778938
1766127995.750452,124.516,0.0,195.778938
1766127996.3266222,124.491,0.0,195.778938
1766127996.9027565,124.491,0.0,195.778938
1766127997.4785662,124.501,0.0,195.778938
1766127998.0545511,124.519,0.0,195.778938
1766127998.628674,124.528,0.0,195.778938
1766127999.203414,124.513,0.0,195.778938
1766127999.7803092,124.484,0.0,195.778938
1766128000.3576183,124.493,0.0,195.778938
1766128000.9338734,124.457,0.0,195.778938
1766128001.5207386,124.46,0.0,195.778938
1766128002.0963838,124.419,0.0,195.778938
1766128002.6738448,124.434,0.0,195.778938
1766128003.3470106,124.433,0.0,195.778938
1766128003.9223032,124.441,0.0,195.778938
1766128004.496147,124.446,0.0,195.778938
1766128005.2089682,124.478,0.0,195.778938
1766128005.7852776,124.464,0.0,195.778938
1766128006.360731,124.467,0.0,195.778938
1766128007.0699828,124.499,0.0,195.778938
1766128007.6452222,124.49,0.0,195.778938
1766128008.229978,124.49,0.0,195.778938
1766128008.8073752,124.519,0.0,195.778938
1766128009.5179431,124.477,0.0,195.778938
1766128010.0941103,124.466,0.0,195.778938
1766128010.6680968,124.497,0.0,195.778938
1766128011.245173,124.51,0.0,195.778938
1766128011.8194497,124.522,0.0,195.778938
1766128012.395982,124.522,0.0,195.778938
1766128012.9730365,124.522,0.0,195.778938
1766128013.777256,124.53,0.0,195.778938
1766128014.3510268,124.53,0.0,195.778938
1766128014.9251506,124.536,0.0,195.778938
1766128015.499977,124.546,0.0,195.778938
1766128016.0787609,124.546,0.0,195.778938
1766128016.662327,124.546,0.0,195.778938
1766128017.2404897,124.557,0.0,195.778938
1766128017.8152223,124.557,0.0,195.778938
1766128018.3913662,124.555,0.0,195.778938
1766128018.9676018,124.572,0.0,195.778938
1766128019.5476284,124.643,0.0,195.778938
