timestamp,price,position,equity
1765555201.6061656,133.486,-1.0,196.594572
1765555202.257107,133.49,-1.0,196.65417399999998
1765555202.830593,133.494,-1.0,196.65417399999998
1765555203.403736,133.513,-1.0,196.65417399999998
1765555203.9770117,133.477,-1.0,196.65417399999998
1765555204.5501804,133.383,-1.0,196.65417399999998
1765555205.1235578,133.412,-1.0,196.65417399999998
1765555205.6967378,133.386,-1.0,196.65417399999998
1765555208.3427982,133.399,-1.0,196.65417399999998
1765555218.8417835,133.242,-1.0,196.853292
1765555219.4905276,133.262,-1.0,196.78429200000002
1765555220.0636656,133.359,-1.0,196.78429200000002
1765555220.637411,133.269,-1.0,196.78429200000002
1765555221.2104728,133.344,-1.0,196.78429200000002
1765555221.7841213,133.429,-1.0,196.78429200000002
1765555222.3571794,133.487,-1.0,196.78429200000002
1765555222.9412515,133.469,-1.0,196.78429200000002
1765555223.5142467,133.499,-1.0,196.78429200000002
1765555224.0873582,133.535,-1.0,196.78429200000002
1765555224.6604774,133.635,-1.0,196.78429200000002
1765555225.233405,133.662,-1.0,196.78429200000002
1765555225.8064778,133.662,-1.0,196.78429200000002
1765555226.3796,133.709,-1.0,196.78429200000002
1765555226.9529433,133.657,-1.0,196.78429200000002
1765555227.5262523,133.661,-1.0,196.78429200000002
1765555228.0993154,133.674,-1.0,196.78429200000002
1765555228.6722934,133.765,-1.0,196.78429200000002
1765555229.2451277,133.765,-1.0,196.78429200000002
1765555229.8927467,133.722,-1.0,196.353292
1765555230.4664643,133.645,-1.0,196.353292
1765555231.0401928,133.652,-1.0,196.353292
1765555231.6154778,133.625,-1.0,196.353292
1765555232.1885827,133.622,-1.0,196.353292
1765555232.761368,133.593,-1.0,196.353292
1765555233.334087,133.539,-1.0,196.353292
1765555233.9070396,133.508,-1.0,196.353292
1765555234.480195,133.516,-1.0,196.353292
1765555235.0533228,133.445,-1.0,196.353292
1765555235.6260278,133.48,-1.0,196.353292
1765555236.1989462,133.505,-1.0,196.353292
1765555236.7722201,133.615,-1.0,196.353292
1765555237.3454971,133.556,-1.0,196.353292
1765555237.9187884,133.556,-1.0,196.353292
1765555238.4922721,133.622,-1.0,196.353292
1765555239.065661,133.628,-1.0,196.353292
1765555239.638495,133.651,-1.0,196.353292
1765555240.2933166,133.665,-1.0,196.43429200000003
