TF,Fast,Slow,Band,TP,SL,ROE,Trades,WinRate
15min,12,50,10,0.05,0.03,6.996499999999969,59,57.6271186440678
15min,3,15,20,0.05,0.03,6.95550000000003,46,63.04347826086957
15min,3,50,20,0.05,0.03,6.937500000000028,54,59.25925925925925
15min,9,20,20,0.05,0.03,6.937499999999972,46,63.04347826086957
15min,3,10,10,0.05,0.03,6.932000000000002,46,63.04347826086957
15min,12,26,10,0.05,0.03,6.923999999999979,49,61.224489795918366
15min,6,26,50,0.05,0.03,6.923999999999964,41,65.85365853658537
15min,3,50,50,0.05,0.03,6.910499999999985,49,61.224489795918366
15min,3,26,20,0.05,0.03,6.872500000000032,49,61.224489795918366
15min,9,15,10,0.05,0.03,6.836499999999987,44,63.63636363636363
15min,6,26,50,0.05,0.02,6.812499999999943,44,59.09090909090909
15min,3,60,50,0.05,0.03,6.798499999999976,52,59.61538461538461
15min,9,20,30,0.05,0.03,6.760999999999981,42,64.28571428571429
15min,9,20,10,0.05,0.03,6.751499999999979,47,61.702127659574465
15min,9,50,30,0.05,0.03,6.744499999999988,50,60.0
15min,9,26,20,0.05,0.03,6.718999999999981,47,61.702127659574465
15min,12,60,20,0.05,0.03,6.69850000000001,58,56.896551724137936
15min,6,10,10,0.05,0.03,6.698000000000008,42,64.28571428571429
15min,3,26,10,0.05,0.03,6.657000000000039,50,60.0
15min,9,60,30,0.05,0.03,6.635999999999981,53,58.490566037735846
15min,3,50,30,0.05,0.03,6.616000000000014,53,58.490566037735846
15min,6,60,10,0.05,0.02,6.56249999999993,69,47.82608695652174
15min,9,15,20,0.05,0.03,6.554999999999993,40,65.0
15min,6,15,30,0.05,0.01,6.487499999999997,48,47.91666666666667
15min,12,20,10,0.05,0.03,6.485999999999947,48,60.416666666666664
15min,9,50,50,0.05,0.03,6.476499999999972,46,60.86956521739131
15min,6,20,20,0.05,0.02,6.451499999999953,50,54.0
15min,12,20,20,0.05,0.03,6.437999999999974,43,62.7906976744186
15min,6,15,20,0.05,0.02,6.429999999999978,47,55.319148936170215
15min,12,50,50,0.05,0.03,6.421499999999966,46,60.86956521739131
5min,9,15,10,0.05,0.03,6.404999999999958,64,54.6875
15min,9,20,30,0.05,0.02,6.396999999999962,47,55.319148936170215
15min,6,15,20,0.05,0.01,6.3840000000000146,56,42.857142857142854
15min,9,15,20,0.05,0.02,6.360999999999977,44,56.81818181818182
15min,3,20,50,0.05,0.03,6.335499999999997,38,65.78947368421053
15min,3,10,20,0.05,0.03,6.324000000000013,41,63.41463414634146
15min,6,60,10,0.03,0.03,6.313500000000019,75,68.0
15min,12,50,20,0.05,0.03,6.293499999999966,52,57.692307692307686
15min,6,20,50,0.05,0.03,6.280499999999989,36,66.66666666666666
15min,3,60,30,0.03,0.03,6.280000000000001,71,69.01408450704226
15min,6,10,10,0.05,0.01,6.273500000000013,57,42.10526315789473
15min,3,26,50,0.03,0.03,6.273499999999984,51,76.47058823529412
15min,3,60,10,0.03,0.03,6.266500000000022,79,67.08860759493672
15min,3,50,10,0.03,0.03,6.256500000000016,75,68.0
5min,12,60,50,0.05,0.03,6.234999999999957,62,54.83870967741935
15min,6,60,10,0.05,0.01,6.231999999999957,85,34.11764705882353
5min,12,60,20,0.05,0.03,6.231499999999954,78,51.28205128205128
5min,12,26,20,0.05,0.03,6.230499999999964,65,53.84615384615385
5min,12,50,20,0.05,0.03,6.211999999999918,73,52.054794520547944
5min,9,50,50,0.05,0.03,6.193999999999932,60,55.00000000000001
15min,3,15,50,0.05,0.03,6.191999999999979,36,66.66666666666666
15min,6,50,50,0.05,0.01,6.1754999999999995,63,39.682539682539684
15min,6,60,20,0.05,0.02,6.173499999999905,65,47.69230769230769
15min,6,50,50,0.05,0.02,6.169999999999959,55,50.90909090909091
