fast,slow,confirm,band_mode,atr_k,band_bps,tp_pct,sl_pct,trend_ema,cooldown,fee_bps,size,trades,freq_per_hour,total_pnl,avg_pnl,win_rate,profit_factor,mdd,sharpe
9,26,1,bps,0.0,50.0,0.02,0.01,200,0,0.0,10.0,47338,10.958081753120236,2027.7669999999896,0.0428359246271492,0.4974016646246145,1.0298795654734956,-0.0533659566855359,3.400769735912977
9,26,1,bps,0.0,50.0,0.02,0.01,200,1,0.0,10.0,47338,10.958081753120236,2027.7669999999896,0.0428359246271492,0.4974016646246145,1.0298795654734956,-0.0533659566855359,3.400769735912977
9,26,1,bps,0.0,50.0,0.02,0.01,0,0,0.0,10.0,47565,11.010629063060628,1771.651999999981,0.037246967307894,0.4972984337222748,1.025860841809045,-0.0726443034594188,2.89544357505294
9,26,1,bps,0.0,50.0,0.02,0.01,0,1,0.0,10.0,47565,11.010629063060628,1771.651999999981,0.037246967307894,0.4972984337222748,1.025860841809045,-0.0726443034594188,2.89544357505294
9,26,1,bps,0.0,50.0,0.015,0.01,200,0,0.0,10.0,47599,11.018499585254345,1608.7194999999997,0.0337973381793735,0.4973213722977374,1.023520053618113,-0.0715732212218973,2.651812851945407
9,26,1,bps,0.0,50.0,0.015,0.01,200,1,0.0,10.0,47599,11.018499585254345,1608.7194999999997,0.0337973381793735,0.4973213722977374,1.023520053618113,-0.0715732212218973,2.651812851945407
21,26,2,atr_pct,0.6,0.0,0.015,0.015,200,0,0.0,10.0,48155,11.147205771716274,1576.1344999999867,0.0327304433599831,0.4942165922541792,1.0235715188585368,-0.0367329236572053,2.6615556478629787
21,26,2,atr_pct,0.6,0.0,0.015,0.015,200,1,0.0,10.0,48155,11.147205771716274,1576.1344999999867,0.0327304433599831,0.4942165922541792,1.0235715188585368,-0.0367329236572053,2.6615556478629787
21,26,2,atr_pct,0.6,0.0,0.015,0.015,0,0,0.0,10.0,48179,11.152761434441253,1531.2594999999835,0.0317827165362498,0.4938873783183545,1.0228765079530908,-0.0381888848393073,2.558858645965696
21,26,2,atr_pct,0.6,0.0,0.015,0.015,0,1,0.0,10.0,48179,11.152761434441253,1531.2594999999835,0.0317827165362498,0.4938873783183545,1.0228765079530908,-0.0381888848393073,2.558858645965696
9,26,1,bps,0.0,50.0,0.015,0.01,0,0,0.0,10.0,47595,11.017573641466848,1480.0925000000038,0.0310976468116399,0.497363168400042,1.0215415098746514,-0.0688429101228146,2.4517295832114496
9,26,1,bps,0.0,50.0,0.015,0.01,0,1,0.0,10.0,47595,11.017573641466848,1480.0925000000038,0.0310976468116399,0.497363168400042,1.0215415098746514,-0.0688429101228146,2.4517295832114496
21,55,1,bps,0.0,120.0,0.02,0.015,0,0,0.0,10.0,29026,6.719111093964004,1246.3314999999884,0.0429384517329287,0.4937642113966788,1.029839757751248,-0.0581977853117609,3.027934185505156
21,55,1,bps,0.0,120.0,0.02,0.015,0,1,0.0,10.0,29026,6.719111093964004,1246.3314999999884,0.0429384517329287,0.4937642113966788,1.029839757751248,-0.0581977853117609,3.027934185505156
21,55,1,bps,0.0,120.0,0.02,0.015,200,0,0.0,10.0,29026,6.719111093964004,1246.3314999999884,0.0429384517329287,0.4937642113966788,1.029839757751248,-0.0581977853117609,3.027934185505156
21,55,1,bps,0.0,120.0,0.02,0.015,200,1,0.0,10.0,29026,6.719111093964004,1246.3314999999884,0.0429384517329287,0.4937642113966788,1.029839757751248,-0.0581977853117609,3.027934185505156
21,55,1,bps,0.0,120.0,0.015,0.015,0,0,0.0,10.0,24522,5.676498389243619,1174.528999999971,0.0478969496778391,0.496492945110513,1.0333148775265275,-0.0486286017076117,3.3358723849738325
21,55,1,bps,0.0,120.0,0.015,0.015,0,1,0.0,10.0,24522,5.676498389243619,1174.528999999971,0.0478969496778391,0.496492945110513,1.0333148775265275,-0.0486286017076117,3.3358723849738325
21,55,1,bps,0.0,120.0,0.015,0.015,200,0,0.0,10.0,24522,5.676498389243619,1174.528999999971,0.0478969496778391,0.496492945110513,1.0333148775265275,-0.0486286017076117,3.3358723849738325
21,55,1,bps,0.0,120.0,0.015,0.015,200,1,0.0,10.0,24522,5.676498389243619,1174.528999999971,0.0478969496778391,0.496492945110513,1.0333148775265275,-0.0486286017076117,3.3358723849738325
21,26,2,atr_pct,0.6,0.0,0.02,0.015,200,0,0.0,10.0,48837,11.305079187484326,1128.2349999999808,0.0231020537707062,0.4919425845158384,1.0164466714417189,-0.0523403081978388,1.845285324745643
21,26,2,atr_pct,0.6,0.0,0.02,0.015,200,1,0.0,10.0,48837,11.305079187484326,1128.2349999999808,0.0231020537707062,0.4919425845158384,1.0164466714417189,-0.0523403081978388,1.845285324745643
21,55,1,bps,0.0,50.0,0.015,0.015,0,0,0.0,10.0,50325,11.6495302764328,1122.090500000029,0.0222968802781923,0.4990362642821659,1.0154195251180298,-0.058309983006115,1.797929918085846
21,55,1,bps,0.0,50.0,0.015,0.015,0,1,0.0,10.0,50325,11.6495302764328,1122.090500000029,0.0222968802781923,0.4990362642821659,1.0154195251180298,-0.058309983006115,1.797929918085846
9,26,1,atr_pct,0.6,0.0,0.015,0.015,200,0,0.0,10.0,51692,11.965971565809523,1052.9215000000731,0.0203691383579678,0.4991101137506771,1.0139812299612754,-0.0590522693946892,1.6862731097885824
9,26,1,atr_pct,0.6,0.0,0.015,0.015,200,1,0.0,10.0,51692,11.965971565809523,1052.9215000000731,0.0203691383579678,0.4991101137506771,1.0139812299612754,-0.0590522693946892,1.6862731097885824
21,26,2,atr_pct,0.6,0.0,0.02,0.015,0,0,0.0,10.0,48943,11.329616697852966,1039.1674999999864,0.0212321986800969,0.4916331242465725,1.0150857902313477,-0.0527741077217343,1.708944323451535
21,26,2,atr_pct,0.6,0.0,0.02,0.015,0,1,0.0,10.0,48943,11.329616697852966,1039.1674999999864,0.0212321986800969,0.4916331242465725,1.0150857902313477,-0.0527741077217343,1.708944323451535
9,26,1,bps,0.0,50.0,0.015,0.015,0,0,0.0,10.0,50345,11.65415999537028,935.5065000000488,0.018581914787964,0.4961167941205681,1.0127661392320473,-0.0752107269438727,1.4453832238022672
9,26,1,bps,0.0,50.0,0.015,0.015,0,1,0.0,10.0,50345,11.65415999537028,935.5065000000488,0.018581914787964,0.4961167941205681,1.0127661392320473,-0.0752107269438727,1.4453832238022672
9,26,1,bps,0.0,50.0,0.015,0.015,200,0,0.0,10.0,50343,11.653697023476532,906.463000000049,0.0180057406193522,0.4961166398506247,1.0123701256082307,-0.0754094350623647,1.3990264750117878
9,26,1,bps,0.0,50.0,0.015,0.015,200,1,0.0,10.0,50343,11.653697023476532,906.463000000049,0.0180057406193522,0.4961166398506247,1.0123701256082307,-0.0754094350623647,1.3990264750117878
21,55,1,bps,0.0,50.0,0.015,0.015,200,0,0.0,10.0,50271,11.637030035301606,870.7095000000248,0.0173203138986697,0.498776630661813,1.0119748861856703,-0.0594897999999957,1.409526149545557
21,55,1,bps,0.0,50.0,0.015,0.015,200,1,0.0,10.0,50271,11.637030035301606,870.7095000000248,0.0173203138986697,0.498776630661813,1.0119748861856703,-0.0594897999999957,1.409526149545557
9,26,1,atr_pct,0.6,0.0,0.02,0.01,200,0,0.0,10.0,51425,11.904164817994172,864.5529999999826,0.0168119202722407,0.4952843947496353,1.01154962545772,-0.095806835574096,1.3020918411239484
9,26,1,atr_pct,0.6,0.0,0.02,0.01,200,1,0.0,10.0,51425,11.904164817994172,864.5529999999826,0.0168119202722407,0.4952843947496353,1.01154962545772,-0.095806835574096,1.3020918411239484
9,26,1,atr_pct,0.3,0.0,0.015,0.015,200,0,0.0,10.0,51744,11.978008835046971,853.6370000000534,0.0164973136982075,0.4986471861471861,1.011289366752961,-0.0538570724210591,1.346282799730136
9,26,1,atr_pct,0.3,0.0,0.015,0.015,200,1,0.0,10.0,51744,11.978008835046971,853.6370000000534,0.0164973136982075,0.4986471861471861,1.011289366752961,-0.0538570724210591,1.346282799730136
9,55,1,atr_pct,0.6,0.0,0.015,0.015,200,0,0.0,10.0,51754,11.980323694515713,842.7780000000589,0.0162843065270328,0.4985121922943154,1.0111452865768604,-0.0495430118018479,1.3381661506675049
9,55,1,atr_pct,0.6,0.0,0.015,0.015,200,1,0.0,10.0,51754,11.980323694515713,842.7780000000589,0.0162843065270328,0.4985121922943154,1.0111452865768604,-0.0495430118018479,1.3381661506675049
