fast,slow,confirm,band_bps,tp_pct,sl_pct,trades,freq_per_hour,total_pnl,sharpe_like,max_drawdown,score,trial
26,34,3,11.739869636282329,0.00879376232613218,0.010675260157448544,250.0,1.0420284821118444,-104.44509600013251,-8.182034903783764,152.14433325178652,-265.3924303400929,123
26,34,3,11.728709339552305,0.005486282015556598,0.009748912602721087,250.0,1.0420284821118444,-123.11689649893519,-7.249374626694868,192.2118116832644,-304.00470402692565,98
26,34,3,11.473308501623501,0.023978260330013997,0.01020370490364697,263.0,1.0962139631816603,-165.26952264896653,-8.959989161009792,229.47835799422683,-473.3326269255016,197
26,34,3,11.122188989393814,0.02445461981015947,0.010441086648239176,271.0,1.1295588746092393,-100.9367638764043,-5.193406109249727,227.2248933061237,-474.1863003588698,151
26,34,3,11.011528809849725,0.02463642858071757,0.011267756408540424,276.0,1.1503994442514762,-72.30538786724559,-3.4436129756899128,213.79472420145976,-480.3459997684969,163
26,34,3,11.436473136220794,0.008147151584769344,0.008950038792505551,265.0,1.1045501910385551,-181.66612769445686,-13.184842664714045,206.30205615689374,-495.23602211648534,132
26,34,3,11.362218184426919,0.005736828061523665,0.009111902798025578,267.0,1.11288641889545,-179.06004072773524,-8.80695858811545,251.35019047738933,-531.3886696161412,94
26,34,3,11.297595967027041,0.006156550131219089,0.009830711631021508,267.0,1.11288641889545,-201.83934740012515,-11.293125092346143,251.83738139173875,-554.660188396129,93
26,34,3,11.025180549545833,0.02234441173770288,0.009692420066466463,276.0,1.1503994442514762,-171.728419963363,-9.563426915066032,232.7451718875418,-589.8562371015929,136
26,34,3,10.96817493561947,0.023733069665176763,0.008986046711790825,276.0,1.1503994442514762,-191.42400063567626,-11.885656253048046,233.104888680984,-609.9638991044255,178
26,34,3,10.8981707042963,0.023670035168517112,0.010392581577121703,278.0,1.158735672108371,-177.08278401742328,-8.45001104165005,237.18221294436444,-613.9902358105126,143
26,34,3,10.833032200435479,0.023095937936633795,0.01087809265476068,280.0,1.1670718999652658,-183.5715589613633,-8.266814163272583,228.4550075455736,-632.7695440810089,153
26,34,3,10.786025715418553,0.023169257981512557,0.011342044668786227,281.0,1.1712400138937131,-186.50065294778955,-8.524474550569408,232.73377403493578,-646.2000152077406,139
26,34,3,10.767299732921675,0.023472229980719465,0.010369593669721053,282.0,1.1754081278221604,-199.92435316732946,-9.16148004867874,245.2930481033818,-674.3032808682091,141
26,34,3,10.880536740606935,0.019717872424447516,0.00907930112965768,278.0,1.158735672108371,-242.96259041808307,-13.771296104282833,257.6958477265289,-690.6589881085179,182
26,34,3,10.789142525064987,0.02214933401017431,0.008762833266515611,281.0,1.1712400138937131,-252.16249583707128,-13.366764003479375,254.5012021926159,-723.2298011211534,175
26,35,3,11.872636905445471,0.005672834366409203,0.010773517995432899,289.0,1.2045849253212921,-201.4007681368308,-8.53048803590255,271.7015043837837,-747.2744197748972,102
26,34,3,10.74233594799121,0.02098722077386963,0.010381654343121332,285.0,1.1879124696075027,-234.50477383248403,-10.554131474926198,274.3453878841683,-748.5578201370663,148
26,34,3,10.707905844291659,0.023140499594449044,0.009425875012033654,287.0,1.1962486974643973,-257.034003889644,-14.550880254900674,257.0340038896484,-779.503488788753,193
26,34,3,10.692803024816788,0.02282688034849463,0.009775784877325087,287.0,1.1962486974643973,-263.3259461737884,-13.187264851265049,263.3259461737889,-788.805040674604,173
26,34,3,10.630628208462383,0.0227457744127073,0.010052746579098763,288.0,1.2004168113928448,-272.20557324724103,-12.296093989082637,307.26371324723914,-827.9006620554585,171
26,34,3,10.666158679905962,0.02254164046109314,0.0089754074745755,287.0,1.1962486974643973,-307.296998335878,-16.840448945555465,307.2969983358762,-855.1269373271664,170
